,,,E1,E1,E1,E2,E2,E3,E3,E3,E4,E4,E4,E5,E5,E5,E6,E6,E6
Roll No.,S. Name,CGPA,SysSec/Mehtre,ML/TSR,CC/SNS,NWSec/WN,Virtualisation/SyamKr,RC/CRR*Sai,DC/VCV,NN/AA,DM/KSR,EHCF/MAS,IoT/NKS*SNS,SC/RP*,Bio/Prasad*,ACN/Radha*,DL/AN,NLP/KNM,SNA/SDB
20MCMC01,Rahul Jain,6.8,2,15,8,14,Optional Core,6,1,5,16,11,3,4,9,12,7,10,13
20MCMC02,Ajay Devgan ,9.6,16,7,optional core,5,6,4,3,15,10,8,9,2,11,12,1,13,14
19MCMC03,Rounak Verma ,8.9,6,8,2,5,Optional Core,9,3,10,15,11,1,4,16,12,7,13,14
20MCMC04,Pihu Sharma,7.9,5,9,2,6,Optional Core,10,1,11,16,8,3,4,15,12,7,13,14
20MCMC05,Priyanshi Khnade,7.2,6,5,optional core,1,16,8,4,7,9,15,2,10,14,13,3,11,12
20MCMC06,Rohini Vyas,8.4,7,5,optional core,9,11,10,3,4,15,8,1,6,16,13,2,12,14
20MCMC07,Swati Sen ,8.9,9,6,optional core,1,4,8,3,15,11,13,5,2,12,16,10,7,14
20MCMC08,Raju Dhar,9.5,,,optional core,,2,4,1,,5,6,3,,,,,7,
20MCMC09,KK Verma,6.7,,,optional core,,8,7,,3,2,,6,4,,,,5,1
20MCMC10,Anji ,9.6,optional core,9,4,3,13,14,2,15,6,16,5,1,12,11,10,7,8
20MCMC11,Rohan Khan,8.5,2,15,8,14,Optional Core,6,1,5,16,11,3,4,9,12,7,10,13
20MCMC12,Manoj Solanki,8.3,13,7,optional core,12,1,6,2,10,4,16,3,5,11,14,8,9,15
20MCMT15,Rah Sharde,8.9,optional core,16,9,6,8,13,15,3,4,14,1,5,12,10,2,7,11
20MCMT16,Vikas Solanki,9.5,12,1,15,Optional core,13,2,7,5,14,11,6,8,16,9,3,4,10
20MCMT17,Aman Kumar ,8.9,8,16,optional core,1,6,14,5,4,15,13,2,7,12,11,3,9,10
20MCMT18,Yogi Khande,8.6,9,12,10,Optional core,16,4,2,11,15,3,8,1,5,13,14,6,7
20MCMT19,Bhim Khande,7.6,7,14,Optional core,8,5,6,16,3,15,9,1,4,13,10,2,11,12
20MCMT20,Swati Sen ,7.6,15,7,optional core,14,13,4,3,6,5,12,8,1,11,16,2,9,10
20MCMT21,Harsh salve,7.5,Optional Core,,7,1,8,,2,6,,3,4,,,5,,,
20MCMT22,Ashish Karma,7.8,15,7,Optional Core,6,9,8,14,5,4,13,3,2,12,16,1,17,11
20MCMT23,Tejpal Mandiol,7.9,9,12,10,Optional core,16,4,2,11,15,3,8,1,5,13,14,6,7
20MCMT24,Vaishnavee Karma ,7,13,Optional core,7,12,14,9,11,2,6,15,3,5,16,10,1,4,8
20MCMT26,Ash Kumar,6,2,15,8,14,Optional Core,6,1,5,16,11,3,4,9,12,7,10,13
20MCMT27,Rajesh Kumar,7,4,1,9,10,Optional Core,11,3,8,12,13,6,2,14,15,5,7,16
20MCMT29,Lakshmi ,7,2,15,8,14,Optional Core,6,1,5,16,11,3,4,9,12,7,10,13
20MCMT30,Ranu bai,7.9,4,1,9,10,Optional Core,11,3,8,12,13,6,2,14,15,5,7,16
19MCMT47,Ataf Khan,6.9,5,9,4,optional core,7,10,2,15,14,12,3,1,11,16,6,8,13
20MCMT31,Sohan karma,9.7,7,8,2,Optional Core,10,13,1,15,9,5,3,4,11,14,6,12,16
20MCMT32,mumtaj ,9.4,1,15,12,Optional Core,13,8,2,6,5,16,3,4,11,9,14,,10
20MCMT33,Rahul Jain,9.1,7,16,optional core,5,1,8,4,15,14,13,2,3,9,10,6,11,12
20MCMT34,priya sete,9.2,optional core,9,4,3,13,14,2,15,6,16,5,1,12,11,10,7,8
20MCMT35,Bhim Bhlase,9.3,optional core,10,16,1,11,6,12,2,7,13,3,4,8,14,9,5,15
